序号,关键词,长度,层级,来源,质量,父级关键词
1,"邦国崛起游戏",6,"第1层","百度","高质量","邦国崛起"
2,"邦国崛起游戏怎么玩",9,"第2层","百度","高质量","邦国崛起游戏"
3,"邦国崛起",4,"第2层","360","高质量","邦国崛起游戏"
4,"我的世界邦国崛起",8,"第1层","必应","高质量","邦国崛起"
5,"我的世界邦国崛起怎么玩",11,"第2层","百度","高质量","我的世界邦国崛起"
6,"我的世界之帝国崛起",9,"第2层","百度","高质量","我的世界邦国崛起"
7,"我的世界王国崛起模组",10,"第2层","百度","高质量","我的世界邦国崛起"
8,"我的世界联邦",6,"第2层","百度","高质量","我的世界邦国崛起"
9,"我的世界建国国家",8,"第2层","百度","高质量","我的世界邦国崛起"
10,"我的世界之王朝崛起",9,"第2层","百度","高质量","我的世界邦国崛起"
11,"我的世界城邦mod",9,"第2层","百度","高质量","我的世界邦国崛起"
12,"我的世界国家",6,"第2层","百度","高质量","我的世界邦国崛起"
13,"mc邦国崛起",6,"第1层","必应","高质量","邦国崛起"
14,"邦国概念",4,"第1层","百度","高质量","邦国崛起"
15,"邦国是什么",5,"第2层","百度","高质量","邦国概念"
16,"什么叫邦国",5,"第2层","百度","高质量","邦国概念"
17,"邦国的含义",5,"第2层","百度","高质量","邦国概念"
18,"邦国和国家区别",7,"第2层","百度","高质量","邦国概念"
19,"邦国之间",4,"第2层","百度","高质量","邦国概念"



